book,spread,dates,location,country,confidence,activity
BB_1914_Jan-Jun,1,,,,low,"Endpaper: London (Hyde Park Gardens) and New York (Murray Hill, 104 E. 40th, Fifth Ave/Plaza) addresses. Not a dated location."
BB_1914_Jan-Jun,2,January 3 – January 6 1914,Montreal,Canada,medium,Jan 5 train (Lexington 1.51); Jan 6 visit to the Ross/Redpath Museum; en route to Montreal.
BB_1914_Jan-Jun,3,January 7 – January 10 1914,Montreal,Canada,high,Jan 9-10 in Montreal.
BB_1914_Jan-Jun,4,January 11 – January 14 1914,New York,United States,high,Jan 11 Montreal; Jan 12 to New York; lunches and dinners with friends.
BB_1914_Jan-Jun,5,January 15 – January 18 1914,New York,United States,high,"Social rounds: Colony Club, lunches and dinners (Hewitt, Seligmann, Robinson)."
BB_1914_Jan-Jun,6,January 19 – January 22 1914,New York,United States,high,Appointments incl. Rockefeller Institute; teas and dinners.
BB_1914_Jan-Jun,7,January 27 – January 30 1914,New York,United States,high,"Lunches and dinners (Chapman, Winthrop, Kahn, Lanier, Frelinghuysen, Flexner)."
BB_1914_Jan-Jun,8,January 31 – February 3 1914,New York,United States,high,"Social rounds: Alexander, DeKoven, Mrs. Kahn, Mrs. Douglas Robinson, Morgan."
BB_1914_Jan-Jun,9,February 4 – February 7 1914,New York,United States,high,"Social calls; Feb 7 day trip to New Haven (arr 10.02, leave 4.09)."
BB_1914_Jan-Jun,10,February 8 – February 11 1914,New York,United States,high,"Calls: Mrs. C. Jones, Mrs. Markoe (37 Park Ave), Miss Bryce; dinners."
BB_1914_Jan-Jun,11,February 12 – February 15 1914,Mount Kisco,United States,high,Feb 14-15 weekend at Mount Kisco with Eugene Meyer; earlier days in New York.
BB_1914_Jan-Jun,12,February 16 – February 19 1914,New York,United States,high,"Social calls: Chapman, Mrs. Lanier, Mrs. Sloane, O. Kahn, Havemeyer."
BB_1914_Jan-Jun,13,February 20 – February 23 1914,Detroit,United States,high,Feb 20 train to Detroit; Feb 21-23 with collector Charles Freer.
BB_1914_Jan-Jun,14,February 24 – February 27 1914,Northampton,United States,medium,Feb 24-25 calls (return east); Feb 26-27 at Northampton (Smith College area).
BB_1914_Jan-Jun,15,February 28 – March 3 1914,Baltimore,United States,high,"Northampton, then Mar 1 to Baltimore; appointments (Jacobs, Cary, Thomas)."
BB_1914_Jan-Jun,16,March 4 – March 7 1914,Baltimore,United States,high,In Baltimore Mar 4-7; Mrs. Dawson.
BB_1914_Jan-Jun,17,March 8 – March 11 1914,Washington,United States,high,"Mar 8 to Washington (1731 I St.); visits Henry Adams, Mrs. Chanler, H. White."
BB_1914_Jan-Jun,18,March 12 – March 15 1914,Washington,United States,high,"Washington (Jusserand, Lodge, Congress, Nat. Museum, H. Adams); Mar 15 to Philadelphia/Bryn Mawr."
BB_1914_Jan-Jun,19,March 16 – March 19 1914,Bryn Mawr,United States,high,At Bryn Mawr Mar 16-19; Widener collection.
BB_1914_Jan-Jun,20,March 20 – March 23 1914,Bryn Mawr,United States,high,"Bryn Mawr / Philadelphia area; Longue Vue, Lanier, Chapman."
BB_1914_Jan-Jun,21,March 24 – March 27 1914,New York,United States,high,"Back in New York; calls (Kahn, Vanderbilt, Mrs. Hewitt, Bryce) before sailing."
BB_1914_Jan-Jun,22,March 28 – March 31 1914,At sea (RMS Olympic),Atlantic Ocean,high,Mar 28 sailed on the Olympic from New York 10am; transatlantic crossing.
BB_1914_Jan-Jun,23,April 1 – April 4 1914,At sea / Paris,France,high,"Crossing on the Olympic; landed evening Apr 3; Apr 4 reached Paris 5:30am (Schlumberger, Seligmann)."
BB_1914_Jan-Jun,24,April 5 – April 8 1914,Paris,France,high,"Paris; excursion to Ecouen with Cosse & Schlumberger; Dubos, Golubew, Reinach, Hewitt."
BB_1914_Jan-Jun,25,April 9 – April 12 1914,Paris,France,medium,Paris; Maisons-Laffitte; Mrs. Lodge (55 Ave. Marceau); Apr 12 to Villa Sylvia (Riviera).
BB_1914_Jan-Jun,26,April 13 – April 16 1914,Saint-Jean-Cap-Ferrat,France,medium,"At Villa Sylvia (Curtis villa, Cap Ferrat); excursions to Grasse and Monaco; Apr 16 arrived (return toward Florence)."
BB_1914_Jan-Jun,27,April 17 – April 20 1914,Florence,Italy,high,"Back at I Tatti/Florence; lunch Placci, lunch Hapgood, Brockwell, Sambon."
BB_1914_Jan-Jun,28,April 21 – April 24 1914,Florence,Italy,high,"At I Tatti; visitors Sybil, Mr. Grey, Miss Roberts, Mrs. Hooker, Strong."
BB_1914_Jan-Jun,29,April 25 – April 28 1914,Florence,Italy,medium,"At I Tatti; Mme. Harrach, Mrs. Leigh Smith, Prof. T. W. Arnold."
BB_1914_Jan-Jun,30,April 29 – May 2 1914,Florence,Italy,medium,At I Tatti (blank days).
BB_1914_Jan-Jun,31,May 3 – May 6 1914,Florence,Italy,medium,At I Tatti (blank days).
BB_1914_Jan-Jun,32,May 7 – May 10 1914,Florence,Italy,medium,At I Tatti (blank days).
BB_1914_Jan-Jun,33,May 11 – May 14 1914,Florence,Italy,high,At I Tatti; lunch with Mrs. Ross (Serristori); tea with Strong & Lubbock.
BB_1914_Jan-Jun,34,May 15 – May 18 1914,Florence,Italy,high,"At I Tatti; Bruce Richmond, Sybil."
BB_1914_Jan-Jun,35,May 19 – May 22 1914,Florence,Italy,high,At I Tatti; Mme. de Cosse & Schlumberger arrive; dined at Fiesole/Serristori.
BB_1914_Jan-Jun,36,May 23 – May 26 1914,Florence,Italy,high,At I Tatti; Harrachs; guests leaving; dinners.
BB_1914_Jan-Jun,37,May 27 – May 30 1914,Florence,Italy,high,"At I Tatti; Croswell, Gravina to dine."
BB_1914_Jan-Jun,38,May 31 – June 3 1914,Florence,Italy,high,At I Tatti; Lucan and wife to tea; drives with Trbie.
BB_1914_Jan-Jun,39,June 4 – June 7 1914,Florence,Italy,high,"At I Tatti; Mrs. Ross lunch, tea with Lucas, dinners."
BB_1914_Jan-Jun,40,June 8 – June 11 1914,Florence,Italy,high,"At I Tatti; Mr. Strong, Mrs. Ross, Lindsay, Saunders."
BB_1914_Jan-Jun,41,June 12 – June 15 1914,Florence,Italy,high,"At I Tatti; Mrs. Strong, Countess Serristori, Lubbock, McClellan to dine."
BB_1914_Jan-Jun,42,June 16 – June 19 1914,Florence,Italy,high,"At I Tatti; Mrs. Strong, Venturi to lunch, Harrach, dinners."
BB_1914_Jan-Jun,43,June 20 – June 23 1914,Modena,Italy,high,"Jun 21 depart I Tatti via Boscolungo, sleep Modena; Jun 22-23 tour Torrechiara, Borgo San Donnino, Castell'Arquato, Cortemaggiore, Cremona (Hotel Roma), Piacenza."
BB_1914_Jan-Jun,44,June 24 – June 27 1914,Paris,France,medium,"Returned north to Paris by late June; Mme. de Cosse, Bing, Mrs. Vanderbilt, Edie."
BB_1914_Jan-Jun,45,June 28 – July 1 1914,Paris,France,high,"In Paris; Bassiano lunch, Reinach, Cercle de l'Union; appointments incl. Bliss."
BB_1914_Jul-Dec,1,July 2 – July 5 1914,Paris,France,high,"Paris; Mme. de Brigode (5 Rue Montalembert), Henry Adams, Royall Tyler (21 Quai de Bourbon), Mme. de Ludre."
BB_1914_Jul-Dec,2,July 6 – July 9 1914,Paris,France,high,"Paris; 74 Ave. Malakoff, Durrieu, Mrs. Cameron, Mme. de Cosse."
BB_1914_Jul-Dec,3,July 10 – July 13 1914,Paris,France,low,Paris (blank days); crossing to London at spread end.
BB_1914_Jul-Dec,4,July 14 – July 17 1914,London,United Kingdom,high,"London; 32 Dover St., Mary Crawshay, Mrs. Otto Kahn, Sybil, opera."
BB_1914_Jul-Dec,5,July 18 – July 21 1914,London,United Kingdom,high,"London; Rutland Garden, Grosvenor Sq, Lady Ripon, St. Pancras, South Street."
BB_1914_Jul-Dec,6,July 22 – July 25 1914,London,United Kingdom,high,"London; Asquiths, 37 Dover Street, Mrs. Astor; Jul 25 out to Epping."
BB_1914_Jul-Dec,7,July 26 – July 29 1914,London,United Kingdom,high,"London (Mrs. Hunter lunch, G. Moore, Ronald Storrs, Nancy Cunard); day trips to Esher and Oxford/Headington."
BB_1914_Jul-Dec,8,July 30 – August 2 1914,Ford,United Kingdom,high,"Settles at Ford Place (Sussex); 118 Belgrave Road earlier; Walter Raleigh, Duncan Grant."
BB_1914_Jul-Dec,9,August 7 – August 10 1914,Ford,United Kingdom,high,"At Ford Place Aug 7-10; tea with Zangwill, Geoffrey."
BB_1914_Jul-Dec,10,August 11 – August 14 1914,Ford,United Kingdom,high,At Ford Place; Zangwills to tea; tea at Amberley.
BB_1914_Jul-Dec,11,August 19 – August 22 1914,Ford,United Kingdom,high,At Ford Place; Aug 20 visit to Buckhurst (the Bensons); outing to Chichester and Bosham.
BB_1914_Jul-Dec,12,August 23 – August 26 1914,Ford,United Kingdom,high,"At Ford Place; boating; Scott, Mrs. Scott."
BB_1914_Jul-Dec,13,August 27 – August 30 1914,Ford,United Kingdom,high,"At Ford Place; Chichester; picture notes (Puligo, Albertinelli); G. Moore, Zangwill."
BB_1914_Jul-Dec,14,August 31 – September 3 1914,Ford,United Kingdom,high,"At Ford Place; Scott, Karin; reading; outing to Arundel Park."
BB_1914_Jul-Dec,15,September 4 – September 7 1914,Ford,United Kingdom,high,"At Ford Place; Sidney Webb, Robert Bridges, Arundel Park; Sep 7 day to London (Keynes dinner)."
BB_1914_Jul-Dec,16,September 8 – September 11 1914,London,United Kingdom,high,"London (Duveen, Lady Wenlock, Huntington, Crawshay); Sep 10-11 motor back to Ford."
BB_1914_Jul-Dec,17,September 12 – September 15 1914,London,United Kingdom,high,Ford early week then 25 Grosvenor Place with Edith; Henry James to lunch; Sep 15 return to Ford.
BB_1914_Jul-Dec,18,September 16 – September 19 1914,Ford,United Kingdom,high,"At Ford Place; Geoffrey Scott; reading (Yule's Marco Polo, etc.)."
BB_1914_Jul-Dec,19,September 20 – September 23 1914,Ford,United Kingdom,high,At Ford Place; Adrian Stephen engaged to Karin; reading Bulow.
BB_1914_Jul-Dec,20,September 20 – September 23 1914,Ford,United Kingdom,high,At Ford Place (Sep 20-23; duplicate/overlap of spread 19 entries).
BB_1914_Jul-Dec,21,September 24 – September 27 1914,Ford,United Kingdom,high,"At Ford Place; Geoffrey Scott; reading; Adrian, Karin, Des. McCarthy."
